                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2177,                 3.5501,                 4.6148,                 1.1367,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.0081,                 3.8937,                 4.6593,                 1.1327,              2.499e-05,              2.499e-05,              2.499e-05
                      1,                 2.1904,                 3.6629,                 4.5935,                 1.1659,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.9884,                 3.5087,                 4.6367,                 1.0791,             5.8021e-05,             5.8021e-05,             5.8021e-05
                      2,                 2.2653,                 3.3591,                 4.6047,                 1.0773,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.9927,                  2.843,                  4.538,                0.97878,             9.0723e-05,             9.0723e-05,             9.0723e-05
                      3,                 2.2972,                 3.1084,                 4.5262,                 1.0091,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.9882,                 2.5519,                 4.4711,                 0.9394,             0.00012309,             0.00012309,             0.00012309
                      4,                 2.3486,                 3.0275,                 4.2888,                 0.9861,                0.00019,                0.00053,                 0.0001,                  4e-05,                0.00105,                0.00498,                0.00076,                  9e-05,                 2.0054,                 2.5277,                 4.4421,                 0.9404,             0.00015514,             0.00015514,             0.00015514
                      5,                 2.3117,                 2.9673,                 4.2055,                0.96609,                0.00212,                0.01012,                0.00185,                0.00042,                0.00693,                  0.026,                0.00643,                0.00158,                 1.9901,                  2.494,                 4.4201,                0.93337,             0.00018685,             0.00018685,             0.00018685
                      6,                 2.1775,                 2.6391,                 3.8472,                0.94811,                0.00422,                0.02215,                0.00249,                0.00064,                0.01686,                0.07792,                0.01363,                0.00447,                 2.0194,                 2.5723,                 4.3484,                0.93656,             0.00021823,             0.00021823,             0.00021823
                      7,                 2.0375,                 2.4903,                 3.6738,                0.95519,                0.01564,                0.07672,                0.02412,                0.01247,                0.02601,                0.11146,                0.03168,                0.01579,                 2.0541,                  2.581,                  4.285,                0.94146,             0.00024928,             0.00024928,             0.00024928
                      8,                 2.2695,                 2.8495,                 3.5623,                0.97426,                0.02514,                0.11071,                0.04753,                0.02557,                0.03312,                0.14905,                0.05324,                0.02703,                   2.09,                 2.6802,                 4.2185,                0.94925,                0.00028,                0.00028,                0.00028
                      9,                   2.09,                 2.6259,                 3.4353,                0.92898,                0.03869,                0.17811,                0.06792,                0.03137,                0.04183,                0.19927,                0.06923,                0.02743,                 2.0576,                 2.6203,                 4.0673,                0.95189,              0.0003104,              0.0003104,              0.0003104
                     10,                 2.2236,                 2.5239,                 3.2817,                0.94868,                0.03998,                0.22439,                0.07673,                0.03501,                 0.0452,                0.25176,                 0.0815,                0.03346,                 2.0525,                  2.505,                 3.8746,                0.94456,             0.00034046,             0.00034046,             0.00034046
                     11,                 2.2644,                 2.8826,                 3.6049,                 0.9512,                0.03784,                0.20685,                0.07652,                0.03721,                0.05013,                0.28513,                0.08804,                0.03694,                 2.0764,                 2.4448,                  3.715,                0.93413,             0.00037019,             0.00037019,             0.00037019
                     12,                 2.3361,                 2.6403,                 3.1138,                 0.9324,                0.04176,                0.22379,                0.07612,                 0.0395,                0.05066,                0.27833,                0.08457,                0.03691,                 2.0783,                 2.5351,                 3.5667,                0.93007,              0.0003996,              0.0003996,              0.0003996
                     13,                 2.0471,                 2.3511,                 2.9371,                0.92681,                 0.0465,                0.24889,                0.08056,                0.04149,                0.05375,                0.28152,                0.08666,                0.03851,                 2.0548,                 2.4929,                 3.4889,                0.92494,             0.00042867,             0.00042867,             0.00042867
                     14,                 2.1568,                 2.5908,                 3.0599,                 0.9483,                0.05756,                0.30961,                0.08912,                0.04213,                0.05856,                 0.3061,                0.08792,                0.03893,                 2.0216,                 2.5607,                 3.4087,                0.91867,             0.00045741,             0.00045741,             0.00045741
                     15,                 2.2565,                 2.6507,                 3.1079,                 0.9492,                0.06181,                0.31973,                0.09426,                 0.0469,                0.06804,                0.32934,                0.09655,                0.03837,                 1.9867,                 2.4473,                 3.3749,                0.91369,             0.00048582,             0.00048582,             0.00048582
                     16,                 2.0464,                 2.3239,                 2.9994,                0.93721,                  0.062,                 0.3094,                0.09858,                0.05268,                0.06709,                0.32663,                0.10309,                0.04203,                 1.9701,                 2.4112,                 3.3427,                0.91523,             0.00051391,             0.00051391,             0.00051391
                     17,                 2.1914,                 2.6079,                 2.9352,                0.93481,                0.05557,                0.26362,                0.08377,                0.04414,                 0.0605,                0.34109,                0.08808,                0.03742,                 2.0126,                 2.4683,                 3.2657,                0.92534,             0.00054166,             0.00054166,             0.00054166
                     18,                 2.1223,                 2.5101,                  2.784,                0.93631,                0.05932,                0.26413,                0.08754,                0.04689,                0.06262,                0.35188,                 0.0968,                0.03913,                 1.9804,                 2.4406,                  3.192,                0.92152,             0.00056908,             0.00056908,             0.00056908
                     19,                  2.091,                 2.4287,                 2.6241,                0.94527,                0.06407,                0.29952,                0.11032,                0.05791,                0.06544,                0.36508,                0.11735,                0.04731,                 1.9809,                 2.4328,                 3.1088,                 0.9216,             0.00059618,             0.00059618,             0.00059618
                     20,                  2.059,                 2.4084,                 2.6379,                0.91499,                0.31253,                 0.2593,                0.14547,                0.07133,                0.30733,                0.28057,                 0.1482,                0.05779,                 1.9968,                 2.3619,                 2.9359,                0.92698,             0.00062294,             0.00062294,             0.00062294
                     21,                 1.9926,                 2.2715,                 2.7535,                0.94838,                0.30261,                0.30537,                0.14283,                0.07587,                0.30688,                0.31686,                0.14526,                 0.0606,                 1.9716,                 2.3741,                 2.8547,                0.92843,             0.00064938,             0.00064938,             0.00064938
                     22,                 1.9417,                 2.1442,                 2.5429,                0.91816,                0.09895,                0.36823,                 0.1536,                0.08267,                0.26162,                0.37015,                0.15498,                0.07084,                 1.9744,                 2.3524,                 2.7866,                0.93212,             0.00067548,             0.00067548,             0.00067548
                     23,                 2.0535,                 2.3277,                 2.5857,                0.93405,                0.08308,                0.46305,                0.15687,                0.08656,                 0.0765,                0.42565,                  0.152,                0.06866,                 1.9536,                 2.4327,                 2.7255,                0.92393,             0.00070125,             0.00070125,             0.00070125
                     24,                  2.153,                 2.5175,                 2.4939,                  0.932,                0.16652,                0.37108,                0.15196,                 0.0844,                0.16199,                0.34946,                0.14159,                0.06527,                 1.9466,                 2.4693,                 2.6984,                0.92085,              0.0007267,              0.0007267,              0.0007267
                     25,                 2.0085,                  2.347,                 2.4936,                0.92951,                0.15947,                0.39371,                0.15511,                0.08638,                0.36445,                0.28196,                0.15219,                0.07177,                 1.9627,                 2.3452,                 2.6891,                0.92591,             0.00072992,             0.00072992,             0.00072992
                     26,                 1.9627,                 2.3117,                 2.3946,                0.95062,                0.18989,                0.37661,                0.16856,                0.09423,                0.19933,                0.35318,                0.16878,                0.08052,                 1.9674,                  2.331,                 2.6711,                0.93332,             0.00072992,             0.00072992,             0.00072992
                     27,                 2.0069,                 2.4102,                 2.6243,                0.92495,                0.25243,                0.39624,                0.17859,                0.09648,                0.24257,                0.37141,                0.17511,                0.08172,                 1.9488,                 2.3191,                 2.6591,                0.93057,             0.00072579,             0.00072579,             0.00072579
                     28,                 1.9052,                 2.2566,                 2.3527,                0.93457,                0.23745,                0.43159,                0.20753,                0.10864,                0.20711,                0.38085,                0.19353,                0.08873,                 1.9315,                 2.3153,                 2.6616,                0.92474,             0.00072167,             0.00072167,             0.00072167
                     29,                 1.9594,                 2.2136,                 3.1743,                0.92969,                0.20609,                0.48712,                0.22191,                0.11126,                0.21563,                0.36379,                 0.2072,                0.09189,                 1.9308,                 2.3066,                  2.685,                 0.9192,             0.00071755,             0.00071755,             0.00071755
                     30,                 1.9913,                 2.2429,                 2.0264,                0.90884,                0.18521,                0.48924,                0.21996,                0.11418,                0.17831,                 0.4634,                0.22581,                 0.0973,                 1.9162,                 2.2659,                 2.6602,                0.91871,             0.00071342,             0.00071342,             0.00071342
                     31,                 1.9589,                 2.2492,                 2.3767,                0.94724,                0.19336,                 0.4515,                0.22488,                0.11196,                0.21534,                0.40756,                0.24239,                0.10255,                 1.9586,                 2.3781,                  2.568,                0.93285,              0.0007093,              0.0007093,              0.0007093
                     32,                 2.0901,                 2.3703,                 2.2613,                0.93863,                0.21084,                 0.4341,                0.22695,                0.11616,                0.21019,                0.41439,                0.24778,                0.11024,                 1.9667,                 2.3938,                  2.514,                0.93595,             0.00070518,             0.00070518,             0.00070518
                     33,                 2.0911,                  2.388,                 2.1832,                0.93619,                0.26151,                 0.3461,                 0.2451,                0.12812,                0.26454,                0.30174,                0.24646,                0.11023,                 1.9314,                 2.3093,                 2.4532,                0.92906,             0.00070105,             0.00070105,             0.00070105
                     34,                 1.9012,                 2.2087,                 2.0222,                0.92091,                0.33816,                0.31043,                0.28008,                0.14088,                0.32696,                0.30179,                0.26277,                 0.1103,                 1.9248,                 2.2893,                   2.39,                0.92393,             0.00069693,             0.00069693,             0.00069693
                     35,                 1.8173,                 2.2407,                 2.0498,                0.93278,                0.39077,                0.29339,                0.30963,                0.14871,                0.37784,                0.27725,                0.29039,                0.12298,                 1.9528,                 2.3367,                 2.3882,                0.92724,             0.00069281,             0.00069281,             0.00069281
                     36,                 2.1441,                 2.4205,                  2.108,                0.93378,                0.40178,                0.29123,                0.31229,                0.14572,                0.37714,                0.26521,                 0.2651,                0.12004,                   1.94,                 2.3865,                 2.3693,                0.92585,             0.00068868,             0.00068868,             0.00068868
                     37,                 2.0745,                 2.3114,                  1.918,                 0.9146,                0.34707,                0.31303,                0.29995,                 0.1406,                0.33478,                0.29871,                0.27617,                0.11396,                 1.9325,                 2.3448,                 2.3051,                0.92642,             0.00068456,             0.00068456,             0.00068456
                     38,                 1.9555,                 2.2364,                 1.9131,                0.91863,                0.27493,                0.34457,                0.25255,                0.12509,                0.23946,                0.32471,                0.23926,                0.09995,                 1.9266,                 2.3046,                 2.3076,                0.92518,             0.00068044,             0.00068044,             0.00068044
                     39,                 1.9526,                  2.258,                 1.8439,                0.92822,                0.44483,                0.24457,                0.28516,                 0.1376,                0.39546,                0.29736,                0.27212,                0.12056,                 1.9216,                  2.284,                 2.3152,                0.92398,             0.00067631,             0.00067631,             0.00067631
                     40,                 1.9907,                 2.3693,                 1.9732,                0.93579,                0.70673,                0.24042,                 0.2721,                0.13062,                0.69276,                0.22187,                0.28885,                0.11675,                 1.9269,                  2.312,                 2.4718,                0.92522,             0.00067219,             0.00067219,             0.00067219
                     41,                 1.7338,                  2.085,                 1.8577,                 0.9168,                0.66518,                0.21906,                0.24991,                0.12459,                0.67832,                0.25202,                0.29919,                 0.1177,                 1.9683,                 2.3653,                 2.5106,                0.93226,             0.00066807,             0.00066807,             0.00066807
                     42,                 1.9872,                 2.3123,                 1.8726,                0.93194,                0.47665,                0.27532,                0.25453,                0.12757,                0.50796,                0.30616,                0.31095,                 0.1276,                 1.9369,                 2.3235,                 2.4445,                0.92907,             0.00066394,             0.00066394,             0.00066394
                     43,                 1.9208,                  2.282,                 1.8588,                 0.9327,                0.48357,                0.29859,                0.33043,                 0.1416,                0.45832,                0.32761,                0.32981,                 0.1388,                 1.8928,                 2.2635,                 2.3953,                0.91751,             0.00065982,             0.00065982,             0.00065982
